id,display_name,display_name_alternatives,type,season,description
10010,おれづみ,,季語,春,初春(立春から啓蟄の前日まで)
10011,お札流し,,季語,春,晩春(清明から立夏の前日まで)
10012,お水取り,,季語,春,仲春(啓蟄から清明の前日まで)
10013,かりんの花,,季語,春,晩春(清明から立夏の前日まで)
10014,かわぢしゃ,,季語,春,晩春(清明から立夏の前日まで)
10015,ぎしぎし,,季語,春,仲春(啓蟄から清明の前日まで)
10016,ぎんぽ,,季語,春,晩春(清明から立夏の前日まで)
10017,クレソン,,季語,春,
10018,クロッカス,,季語,春,初春(立春から啓蟄の前日まで)
10019,けしの若葉,,季語,春,仲春(啓蟄から清明の前日まで)
10020,ゴールデンウィーク,,季語,春,晩春(清明から立夏の前日まで)
10021,こでまりの花,,季語,春,晩春(清明から立夏の前日まで)
10022,こやまがえり,,季語,春,仲春(啓蟄から清明の前日まで)
10023,ごんずい,,季語,春,
10024,さより,,季語,春,
10025,さるとりの花,,季語,春,晩春(清明から立夏の前日まで)
10026,さんざしの花,,季語,春,晩春(清明から立夏の前日まで)
10027,シクラメン,,季語,春,
10028,しどみの花,,季語,春,晩春(清明から立夏の前日まで)
10029,シネラリア,,季語,春,晩春(清明から立夏の前日まで)
10030,スイートピー,,季語,春,晩春(清明から立夏の前日まで)
10031,スノーフレーク,,季語,春,晩春(清明から立夏の前日まで)
10032,たらの芽,,季語,春,仲春(啓蟄から清明の前日まで)
10033,ちゃるめる草,,季語,春,初春(立春から啓蟄の前日まで)
10034,チューリップ,,季語,春,晩春(清明から立夏の前日まで)
10035,ていれぎ,,季語,春,晩春(清明から立夏の前日まで)
10036,どんたく,,季語,春,晩春(清明から立夏の前日まで)
10037,ネーブル,,季語,春,
10038,ねぢあやめ,,季語,春,晩春(清明から立夏の前日まで)
10039,はこべ,,季語,春,初春(立春から啓蟄の前日まで)
10040,バレンタインの日,,季語,春,初春(立春から啓蟄の前日まで)
10041,ひがい,,季語,春,晩春(清明から立夏の前日まで)
10042,ひさかきの花,,季語,春,晩春(清明から立夏の前日まで)
10043,ヒヤシンス,,季語,春,晩春(清明から立夏の前日まで)
10044,フリージア,,季語,春,晩春(清明から立夏の前日まで)
10045,へご,,季語,春,
10046,ヘリオトロープ,,季語,春,晩春(清明から立夏の前日まで)
10047,ボートレース,,季語,春,晩春(清明から立夏の前日まで)
10048,まるめろの花,,季語,春,晩春(清明から立夏の前日まで)
10049,みどりの日,,季語,春,晩春(清明から立夏の前日まで)
10050,ミモザ,,季語,春,初春(立春から啓蟄の前日まで)
10051,むしかりの花,,季語,春,晩春(清明から立夏の前日まで)
10052,むつごろう,,季語,春,晩春(清明から立夏の前日まで)
10053,めじ,,季語,春,
10054,ものの芽,,季語,春,仲春(啓蟄から清明の前日まで)
10055,やすらゐ祭,,季語,春,晩春(清明から立夏の前日まで)
10056,ようず,,季語,春,
10057,ライラック,,季語,春,晩春(清明から立夏の前日まで)
10058,ロベリア,,季語,春,晩春(清明から立夏の前日まで)
10059,阿蘭陀渡る,,季語,春,仲春(啓蟄から清明の前日まで)
10060,梓の花,,季語,春,晩春(清明から立夏の前日まで)
10061,虻,,季語,春,
10062,鮎汲,,季語,春,仲春(啓蟄から清明の前日まで)
10063,粟島祭,,季語,春,仲春(啓蟄から清明の前日まで)
10064,鞍馬の花供養,,季語,春,晩春(清明から立夏の前日まで)
10065,杏の花,,季語,春,晩春(清明から立夏の前日まで)
10066,伊勢参,,季語,春,
10067,伊予柑,,季語,春,
10068,遺敎経会,,季語,春,仲春(啓蟄から清明の前日まで)
10069,郁子の花,,季語,春,晩春(清明から立夏の前日まで)
10070,郁李の花,,季語,春,晩春(清明から立夏の前日まで)
10071,磯開,,季語,春,晩春(清明から立夏の前日まで)
